sentence,predicted,truth
"Yeah, they could have beat in all their heads with rocks!",0,1
"Something needs to be done about downtown...this is OUR city. The police have their hands tied so they end up having to expend all their energy chasing down drivers with a couple beers in their system instead of dealing with the BS from all the ""travelers"" downtown. I can't walk 5 ft without stepping on someone making a bed on the sidewalk or demanding my change or food from me. I get insulted and threatened constantly by smug, deranged addicts that seem more self-entitled than struggling. Half of them are on heroin or meth and the others have serious mental health issues. One kid was threatening shop owners that if they didnt give him money store windows would be broken. These fools think these are their corners??? Some need to be taught a lesson. We were kids on these corners years before these pan-handling scrubs were even out of diapers and we had respect and made our own way. We liked to gather because we loved music and community...now its being a threat or a parasite. SICK OF IT",0,1
Somebody should have backhanded Don  to the floor and watched him slink away like the slug he is  :  (,0,1
"Alaska laws regarding self defense prohibit the use of deadly force ""if the person knows that, with complete personal safety and with complete safety as to others being defended, the person can avoid the necessity of using deadly force by leaving the area of the encounter.""

Property owner followed suspect into woods!

Life in the Mat Su.  

Property owners take priority.  

The Mat Su has no police and minimal troopers

As shown  in this case, depends on who you are and who you know as to how Alaska Law is enforced

The property owner would not lie as to what happened to justify his shooting?!

This is the Mat Su!
No police needed.
Drug addicts and thieves beware!",0,1
"Wavemaker, democrats like you who would destroy a civil right for no gain, like every one of these left wing nazi gun grabbers just shows like them how horrible of a person you and they are and why you are a bad American.",0,1
"The story IS her side of the story, Stephen Hawking.

Has anybody else noticed that a certain commenter—let's call him Dick—never ever ever misses a chance to comment on the articles about gays? Dude's gaydar is like the Hubble Telescope. And he sees gays everywhere—like the nice woman who wrote the column about tolerance this morning; she talked about going to gay bars with her husband. Or a public bathroom. Or a locker room. Whenever the gay is threatening to get good, Dick is johnny on the spot.

And you guys flew all the way to Alaska from Texas to get all up in our Pride thing? Seriously? Sort of like one of those theme cruises, I guess. I'm sure there must be places in Amarillo you could run into some nice fellas. 

Just something to think about Dick and Dave: if both you boys are THAT anti-gay, you're probably gay. Hope that helps you sort out some feelings.",0,1
"Well Shannyn, the Democrats had their chance and blew it by going with Hillary Rodham Clinton.

This You Tube video with almost 10 million view shows Hillary lying and lying and lying. A person who lies so much is either delusional or mentally ill.

https://www.youtube.com/watch?v=-dY77j6uBHI

So will a majority of Americans vote for Crooked Hillary- who got us into a war in Iraq that killed more than one million human beings? Trump starts to look not so bad by comparison.

Democrats have only themselves to blame.",0,1
"Seriously?  Let's see, with Bush we got the 9/11 attacks, the uncalled-for and still unpaid-for war with Iraq, turning a budget surplus into a huge deficit, and trillions lost in the financial market meltdown, and you think Gore would have been a disaster?  Please tell me how it could have been worse, because Bush is undoubtedly the worst president since Hoover, perhaps the worst ever.",0,1
Stick to playing in the street gutter HaroldF. What a bunch of piffle.,0,1
All I can say Shame on you! for those people that stayed silence even though you know the truth behind this angelic look like innocent POS! I wish the judge asked how is she in her treatment facility. she is no angel.... she needs to be in jail!,0,1
