sentence,predicted,truth
To assume the Clinton and Sanders' campaigns sent the protesters to the Eugene Trump rally is simply inane.,False,True
"with 5 months to go anything can / will happen, Trump and Clinton could be out of the picture, if Clinton is gone the Left have a shoe-in with Sanders, if Trump is out that fractured bunch is done. If they're both standing in Nov. it comes down to turnout of which both sides will suffer voters sitting it out vs the countering anti / never voters. Trump's riled up mob of angry town folk, a vocal minority, are more motivated but winnowing as his caveman shtick wears thin vs the weak candidacy of Clinton that will grow slightly with fears of Trump. If Trump is still his own worst enemy and Clinton can up the charm factor as she has in the past, plus be the stable mind in the mix then she'll secure voters despite the grey areas that are fogging things up. Then there's the one sided electoral map, currently all the left have to do is take Virginia and they win. While Trump is surly a jerk, his followers are the real problem, he merely tore the scab off and exposed the 'ugly American' voter.",False,True
"Agreed, same as if Trump gets in. Either can stack the court to avert having the constitution interfere with what they want to do. Since most of the justices rule on what they want rather than what the constitution says we are pretty much screwed regardless.",False,True
"On a 747, two class structure plane, approximately 524 people can fly.  Statistically, 1 out of 12 people has an alcohol abuse problem.  So that means, on a flight, you have 43 people with alcohol problems, some of which are going to booze it up on the flight.  We, as Americans, have an alcohol problem, regardless of our own personal drinking because how do you escape the drunk, on a packed plane, seated next to you?  We cannot continue to pretend that alcohol doesn't play a role in these crimes.  I hope the perp burns in hell.",False,True
What a crock of sh..!! If it is a good event it should support itself. How many potholes could be repaired with the money. Wonder if the executive staff volunteer their time and pay for the travel expenses out of pocket or do taxpayers foot the bill. Where is the money from the espn. Another group of legacy builders on the backs of taxpayers.,False,True
"except they are not like you and me. they come here to mooch, steal, and kill. great idea !!",False,True
"I used to refer to this babbling nonsense as liberal dementia, but the RG online moderator stated I would be banned for using this term the Register Guard has published on at least 7 occasions, so I will now simply refer to this babbling as a mental illness.",False,True
"Our unprofessional incompetent lazy police department has truly lost all control in Eugene. It's a bloody free-for-all. A total lack of law enforcement for decades has had a dramatic impact, and not for the better.

Perhaps the staff at EPD would do a better job if they were required to reside inside the city instead of in the surrounding suburbs.",False,True
"Pure communist crap.  We won the Cold War. Capitalism won the Cold War. The oil pipeline was built by capitalists and so should the gas line. I am tired of so called free market capitalist Republicans spending state money on projects that at least makes them socialists if not communists meanwhile they call the democrats ""tax and spend socialists"". Stop the hypocrisy! There are no fiscally conservative Republicans in Alaska! There are just thieving Republican socialists.",False,True
"That's about the level of logic required to believe in a god to begin with. You have to have no common sense or logic or it won't work. In other words, religion is for the weak of mind.",False,True
"Something needs to be done about downtown...this is OUR city. The police have their hands tied so they end up having to expend all their energy chasing down drivers with a couple beers in their system instead of dealing with the BS from all the ""travelers"" downtown. I can't walk 5 ft without stepping on someone making a bed on the sidewalk or demanding my change or food from me. I get insulted and threatened constantly by smug, deranged addicts that seem more self-entitled than struggling. Half of them are on heroin or meth and the others have serious mental health issues. One kid was threatening shop owners that if they didnt give him money store windows would be broken. These fools think these are their corners??? Some need to be taught a lesson. We were kids on these corners years before these pan-handling scrubs were even out of diapers and we had respect and made our own way. We liked to gather because we loved music and community...now its being a threat or a parasite. SICK OF IT",False,True
Somebody should have backhanded Don  to the floor and watched him slink away like the slug he is  :  (,False,True
"""decorum"" Don Young?  He is an embarrassment to every citizen of Alaska.  We have one lone vote in the House and it can't be someone who is an ""abusive bully"" that can not control himself to the point of requiring ""physical restraint"" to avoid harm.
Don:  You served AK well ""back then"" but it is time for you to retire and go fishing.  You are ineffective and not respected in any GOP circles--just ignored.  We can no longer support this juvenile behavior and childish temper tantrums.",False,True
"Alaska laws regarding self defense prohibit the use of deadly force ""if the person knows that, with complete personal safety and with complete safety as to others being defended, the person can avoid the necessity of using deadly force by leaving the area of the encounter.""

Property owner followed suspect into woods!

Life in the Mat Su.  

Property owners take priority.  

The Mat Su has no police and minimal troopers

As shown  in this case, depends on who you are and who you know as to how Alaska Law is enforced

The property owner would not lie as to what happened to justify his shooting?!

This is the Mat Su!
No police needed.
Drug addicts and thieves beware!",False,True
"Another travesty of small-minded self-interest from the so-called 'Anchorage Community Development Authority'.  ""Community"" my butt!  The ACDA actually represents little more than a small but politically powerful handful of rapacious downtown business owners and parking landlords willing to use every dirty, greedy and cronyistic tactic to increase their revenues, damn the long-term (and self-defeating) cost to downtown business activity in general.

This is the same ""authority"" that has been trying to kill the very successful Anchorage (Weekend) Market since its inception in the early 1990s, blaming it for their declining business, rather than facing up to the fact that the falling sales of many downtown businesses is really due to the diminishing interest among tourists and locals alike for the cheap, cookie-cutter made-in-China junk peddled by many of them.",False,True
"Unfortunately you are without a doubt incorrect. Non believers with sense know there is 100% history record of jesus being alive. Try doing some research, because ignorance is showing. FYI Im agnostic.",False,True
"Head shot with my .375H&H, and I don't live in Anchorage...",False,True
