sentence,predicted,truth
"Why are you buying into the argument that there is a conspiracy to ban guns? Did I say that? Did Obama say that? Did anybody but the NRA say that? Of course not. The issue is ""what can we do to reduce gun deaths in our country"". No one is trying to take your guns away. In the last eight years how many guns has Obama seized?  Zero. Not a single one. I am stunned and saddened that this fear mongering which has proven to be a lie - is still effective today... 
To blame gun violence on a lack of morals or a breakdown of society in America without evidence is absurd. Look at any country in Europe. Compared to them, we are a deeply religious, conservative country. Yet they have a fraction of then the gun violence we have. 
We can keep our guns and reduce gun deaths. To think Americans are stupid, immorale and not capable of problem solving is shocking. I believe in the greatness of this country and its people. And  I'm convinced reason will conquer fear as we move into the future.",False,True
"May he rot in hell. Unfortunately, until then, that means in AK DOC paid for by Alaska.",False,True
"Actually incorrect Alaska is the third highest dangerous state according to 2016 data.  It's per capita that means people vs crime rate.  When your state has 4million people it makes sense that they have more crime.  When your state only has 700k then the numbers should be Rhode Island low but they aren't, we have high numbers based on our low population.  

The irony is that we aren't considered an area high in poverty or lower education so they can't figure out what's wrong with us... Honestly I think the problem is isolation + lots of places to dispose of bodies .... = tons of psychotic morons",False,True
"If they weren't Muslim there wouldn't be anything said! What's going on in Our country? We have a whole bunch of socialists trying to destroy our way of life, and take every chance they can to do it!",False,True
"Hillary is a mockery to the institution of motherhood, and to the institution of marriage.  She enabled her husband to use and abuse other women and then conspired to destroy the lives of the women.  There is very little respect for Hillary in the world.  Hillary is responsible for the debacle in Libya,  accomplished nothing while the Senator from New York, or the first lady of Arkansas.  She tries to claim Pennsylvania, Illinois, Arkansas, New York as her home when out campaigning.  She handled classified emails and documents like dirty tissues at the bottom of her purse.  She's a disgrace.",False,True
"Truth hurts...  AND YOU WANT THIS MONSTER TO LEAD OUR COUNTRY. ??!!!  
PLEASE READ...
https://m.facebook.com/story.php?story_fbid=212688522461817&id=212639889133347",False,True
"I think your multi-faceted rhetorical repitoire would be quite impressive to most.  But, to me, your comment above is akin to the cheapest of cheap tricks--similar to your ""profession"", aka spin doctoring:)--in it's completely transparent use of the first refuge of scoundrels: cherry-picking parts of quotes out of context, and then spinning them to make patently obvious and false ""straw man"" arguments that, as usual in your case, sound superficially clever--at least to yourself (because, after all, you never fail to ""like"" your own comments:)  

I also acknowledge how difficult it must have been for you to admit I might have superior knowledge about anything, in contrast to your half-baked and purportedly omniscient stereotypying of nearly everything.  I hope that superficial act of humility was not too painful for your otherwise impervious sense of self-certitude:)  So I'll finish in kind, by paraphrasing Shakespeare: First, we kill all the lawyers.  Next we kill all the PR flacks!:)",False,True
"""The woman is basically a slave.""  Well, that just convinced me to vote for Trump. Yup...",False,True
"And the number of wars you've been involved with up-close and personal include? I don't mean baking cookies in some tent back on a FOB somewhere (or similar).... I mean out in the mud and blood enforcing the last 500 meters of national policy where the metal meets the meat. I'm against war, and I've been there. Does that make me a coward? Or is this one of those embarrassing moments when your lack of expertise beyond watching ""Green Zone,"" between games of ""Call of Duty"" has led you to believe you have experience where you do not?

As I recommended to another further down. I have a number of very close friends who don't care for war (based on experience). I'm certain they would explain their reasons to you, and you can explain to them how they are cowards.",False,True
"Oh, bollocks. No candidate is going to mention EVERY negative statistic about this country. Except Trump, who had to make up half of what he said.",False,True
"_""This solder’s father, is an immigration lawyer who is using this to pursue his personal and political agenda much like the terrorist kid in Tex with the clock. ... That does not mean that the rest of their families are not trash, who 12 years after their son dies, are trying to use his death for their own goals. ""_ -- Jesse Ulery

Whew! Now I'm beginning to understand your other posts ... you have one dark and messed up mind.

-- Paul",False,True
"Good job Fairbanks, now all the nutbags know where to move too. As if you didn't have enough people with mental problems.",False,True
A tRUMPlicant Jihadist that will blow up the Republican Party at any cost.,False,True
A tRUMPlicant Jihadist that will blow up the Republican Party at any cost.,False,True
"having heard Djou on HPR's The Conversation, it's clear he too has no clue regarding the homeless and the rail debacle will continue no matter what, while the ethics and cost of living issues will flounder. this election year for Hawaii and nationally is unacceptably dismal, we have nothing but really bad choices to choose from. that I'm looking at voting for a republican for Mayor who's gunning for the Governor's seat just to avoid the other two, and Hillary just to avoid a DJT / republican catastrophe is historically pathetic.",False,True
"the double standard in this article is amazing, it states the feud was going on for 5 days but yet trump only mentioned Khan by name once. seems like its the media draggin this story through the mud for the rest of the days. it seems to me that if Khan wanted to talk about his son he could have but instead he seized the opportunity to attack Trump for nothing. it was very disgraceful and i wonder what would his son say to him for using his death for political gains... we saw the BLM mothers and their grief and they spoke but i didn't get that they were so distraught they couldn't mention their sons'! Giant double standard of crap! McCain! really if anyone is the old school racist your tryin to oust it's McCain!",False,True
"What I've written, out of respect for several people on this site, is nothing like the real antipathy I feel for Trump.    There are many people of equal or greater wealth than Mr. Trump.  Mr. Trump's vanity is absurd when looking at people like Gates, Buffet, Hemingway, or the accomplishment of women who have overcome bias to excel in education, the arts, motherhood and industry.   I'll celebrate the 95 year old matriarch still guiding her grandchildren to a good life, thank you.    How about the pastor or counselor who faces great emotional pain every single day and does so in private?   

Trump expects worship, he'll get none from me.

It's my opinion.  I don't like the man and it has little to do with his wealth.   I've met braggers and bullies my whole life, as you the reader have.   The fact that Trump wears a thousand dollar suit doesn't hide his sociopathic behavior.

It's an opinion. everybody has one.   lol",False,True
"Not sure why we are even discussing this person, the cops should have just drowned him in the river on the way back to the station. Oh well...",False,True
is that the best ya' got.. shiiiiiiiiiiiiiiiiiiiiiiiiiit!!!,False,True
"To Warren Keogh and others: No parents of a deceased volunteer Captain speaks for vets; This clown General Allen does not speak for vets, where does he get off? A general in todays military, phssst. Any vet didn't want to hear from Generals in 'Nam and no one wants to hear from one today. As citizens, we make up our own minds and what we decide is nobody's business. This media circus and vaudeville act won't change many minds, only those of the weak and infirm psyche are moved, Nutz...This ""rattling of noise"" that passes for news is a very, very old game and tiresome. I for one haven't decided anything about the candidates, except these state incumbents. They stink!",False,True
"Walker is as popular as any low-life thief is with their victims.
Walker works to protect the incompetent , over bearing nanny-state, with money stolen from hard working Alaskan families.",False,True
"I don't think it ""sucks"" or find it hard to navigate.  I like that they found a comment system that didn't require Facebook to leave a comment too.",False,True
"I reckon you gotta put Wavemaker on your list of 'People Dave63 is gonna safety check because they are different than Dave63' along with homeless, commies ( lefties, hippies, the media)and homely asexuals. 
Your list must be huge.",False,True
"me/you:  I'm not going to get involved in doing PR work for the Hop Valley owner/founders.  However, may I relate a short, personal and I think, relevant story.  

I've always been a politically active person.  That didn't set well with a local School District where I was employed.  They found a way to use a ""reduction in force"" to end my employment.  Like Mr. Johnson,  I felt I had been ""royally screwed"" and was extremely bitter.  Fortunately, I was able to ""get over it"" and keep that bitterness from clouding my future.  It wasn't real easy,   I still think the administrators and Board members were a bunch of #@$%$s, but they are $#$%^s ""in the past.""  I've ""gotten even"" by enjoying the last 30 plus years and, while I've been ""at it"", outliving all of them.

  It sounds like Aaron is doing the same.  

This will sound a little ""preachy"", but, IMO,  how we handle ""getting screwed"" is more important than ""getting screwed""  regards and best wishes,   Gary",False,True
"""It’s unbelievable how much the public can just ignore the lies and corruption of the bombastic, egomaniac Donald Trump.""  Who are these people you speak of ?  Oregon is a one party rule state, what are you afraid of ?  But your big words, lies, corruption, bombastic, egomaniac  describe Hillary Clinton in the FBI's own report.",False,True
"The RG has a staff of reporters who, in my opinion, do a good job of covering local and regional news.  Of course, like any paper of the RG's size, it depends on wire service coverage of national and international issues.  You may not like the RG.  You may disagree with its editorial stance on various issues.  You may feel the paper has that ""damn liberal mainstream media bias.""  That's ""life in the big city"" 

 When visiting relatives in Oklahoma, I read the Tulsa World.  I'd guess I like their ""world-view"" (no pun intended) less than you like the RG's, but, hey, it's the publishers' paper and the editorial policy is their business.  I can write Op Eds, I can write Letters to the Editor, I can cancel my subscription, I can refuse to read it...my choice. . or, I guess, I could just whine abolut it.  You've got the same choices available to you.",False,True
"Quit your stereotyping, Deal.  People like you try to accuse the left of giving away free stuff.  Well than, I'm looking forward to people like you to forfeit your Social Security, Medicaid, Medicare, Unemployment, Workers Compensation when and if you are eligible to use it.  And don't forget, none of us working Americans have ever contributed enough into these socialized programs compared to what we get out of them.  Don't be a sideline flame thrower and a hypocrite.",False,True
"""It's certainly no because of an advertising blitz""?  Fear and terrorism propaganda filling the media at all levels on a daily basis.  The election of a black man to Presidency  generated huge sales as the NRA and its White Supremacist associates filled every corner of the nation with claims that Obama was going to take away all of the guns.  Insane fear generated by nothing but hot air as the gun makers and distributors couldn't supply enough arms or ammunition.  The greatest surge of civilian gun buying in the history of the nation.  The statistical numbers certify my point.  All of that armament for what?  None of it has stopped the killing on the streets.  Just stupid.",False,True
"Sounds like baloney. In thirty years, this is the first I've heard this particular excuse, for not building a gas line off the slope.  

Nice to know that Exxon is worried about greenhouse gas emissions.  (oh...they really DO care)",False,True
"""City bear hunt? Oh Lord, bullets flying everywhere!""  We already have bullets flying everywhere in Anchorage. The bears are far less of a problem for Anchorage residents than the urban scum infesting this city.",False,True
"Shannyn, were you aware that, according to the Council on American-Islamic Relations (https://www.cair.com/images/pdf/Pervasiveness-of-anti-Islam-legislation.pdf) of the 78 anti-Sharia law bills introduced in state legislatures in 2011 and 2012, 1 was introduced by a Democrat (Alabama) and 3 were bipartisan (Kansas, South Carolina, South Dakota)?  The document also notes that during a Missouri House Judiciary Committee meeting convened to discuss Democrat Representative Don Well’s anti-Sharia law bill, he said he believed Sharia law is like polio. 

To be clear, I think these bills are stupid.  But my point is that your assumption that only Republicans support stupidity is in error.",False,True
"4:20  POLITICALLY CORRECT is a phrase used to trivialize criticism of an action.  I often refer to the condemnation Dave Frohnmayer received for using the term ""Oriental"" instead of ""Asian"" in a presentation at the U of O as an example of ""political correctness"" run amok.  My concerns and criticisms of Mr. Trump are of a far more serious nature.  I see him as the most unfit candidate for President in the history of our country.....intellectually unfit, morally unfit and emotionally unfit. Those are hardly concerns over not being ""politically correct.""  

I have suggested Mr. Trump, based on his well documented actions and comments, would likely be clinically diagnosed as a sociopath....a condition far more serious that being ""politically incorrect.""  If the worst thing about Mr. Trump as a candidate for President were his being ""politically incorrect"", I would be tremendously relieved.  IMO he's a deeply, deeply flawed man who would be a disaster as President of the United States.",False,True
"When one does everything to screw you, or does or says everything that equates to FU without actually saying the actual words, they are still saying FU.  Thank you for responding to the DNC, and the establishments big FU.",False,True
